Ingredient,Water,Fat,Sugars,Starch,Protein,Other solids,Source
Cream fluid heavy whipping,57.71,36.08,2.84,0,2.84,0.53,https://fdc.nal.usda.gov/food-details/170859
Milk whole 3.25% milkfat,88.13,3.25,4.80,0,3.15,0.67,https://fdc.nal.usda.gov/food-details/171265
Syrups corn light,22.81,0.20,76.77,0,0,0.22,https://fdc.nal.usda.gov/food-details/168837
Sugars granulated white,0.02,0,99.80,0,0,0.18,https://fdc.nal.usda.gov/food-details/169655
Egg yolk raw fresh,52.31,26.54,0.56,0,15.86,4.73,https://fdc.nal.usda.gov/food-details/172184
Green peas raw,78.86,0.40,5.67,3.08,5.42,6.57,https://api.nal.usda.gov/fdc/v1/food/170419
Pea shoots fresh,91.38,0.32,3.51,0,2.34,2.45,https://fdc.nal.usda.gov/food-details/506159
Oil olive salad or cooking,0,100,0,0,0,0,https://api.nal.usda.gov/fdc/v1/food/171413
Lecithin sunflower powder,0,50,0,0,0,50,https://www.recipal.com/ingredients/25507-nutrition-facts-calories-protein-carbs-fat-now-foods-sunflower-lecithin-pure-powder
Oil coconut,0.03,99.10,0,0,0,0.87,https://api.nal.usda.gov/fdc/v1/food/171412
Coconut milk Aroy-D full fat,77.6,18.9,2.2,0,1.1,0.2,product-label-aroy-d
Honey,17.1,0,82.12,0,0.3,0.48,https://api.nal.usda.gov/fdc/v1/food/169640
